제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
[사단법인 데일리다일] 2018 KCOC 월드프렌즈 봉사단 모집(~7/5),20180628,사단법인 데일리다일 2018 KCOC 월드프렌즈 봉사단 모집,"분원명(지역)분야세부업무필리핀다일공동체(까만씨)사회복지(아동결연,청소년코칭)무상급식 지원 신규 아동 조사기존 아동 관리 청소년 코칭(진로상담 및 적성 탐색 등)무상급식 지원 외네팔다일공동체(포카라)사회복지(아동결연) 신규 아동 조사기존 아동 관리 무상급식 지원 외우간다다일공동체(와키소)교육초등 교육 지원신규 아동 조사기존 아동 관리공공행정 행정지원 무상급식 지원 외※ 현지 사정에 따라 보직 변경 가능", 1차 심사 : 2018. 7. 5. (목)까지 서류제출 마감  1차 합격자 발표 : 2018. 7. 6.(금)  2차 심사 : 2018. 7. 9.(월)   최종 합격자 결과 발표 : 개별공지," 모집인원 : 6명 (분원별 각 2명)  업무기간 : 6개월 (연장 가능)    업무내용 : 신청서에 지원희망 국가, 지원 분야 필수 기입"," 만 19세 이상의 대한민국 국적을 가진 자   해외봉사활동을 수행하는데 적합한 자  국가공무원법 33조 각호에 해당하지 아니하는 자  최소 1년에서 최대 3년 활동이 가능한 자  남자인 경우 군복무를 필했거나 면제된 자(단, 군미필자의 경우 파견기간동안 활동이 보장되는 자)  관련업무 전공자 우대   영어회화 가능자 우대  국제개발협력 및 개발도상국 해외 자원 활동 경험자 우대  기관의 방향에 동의하는 자",,, 필리핀(까만씨) 네팔(포카라) 우간다(와키소), 2018.08 ~ 2019.02
[CAMBOFRIEND] 해외봉사-개인교육봉사 지원자 모집(수시모집),20180628,CAMBOFRIEND,교육봉사활동,연중수시모집,제한없음 (홀로 또는 동행과 함께 신청 가능),"제한없음 (학생,휴학생,졸업생,직장인,일반인 등)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사활동기간 본인이 직접 정하여 봉사활동 가능
[미래에셋/이티원] 중국 상해_제29회 글리더 대장정 캠프 운영진 모집(활동비 지급) (~6/27),20180627,제29회 미래에셋 글로벌 리더 대장정,중국 상하이에서 진행되는 캠프 중 참가자(초등학생) 관리 및 인솔,~6월 27일(수)까지지원 가능,"00명 (멘토, 스텝)","대학생 (재학생, 휴학생, 대학원생, 졸업생 가능)","캠프 중 필요한 교통비, 숙박비, 식비. 단체복무료 제공 단, 여권발급 비용 지원하지 않음/ 단체비자 발급 비용 주최측 지원", 어린이/ 청소년과 함께 하고자 하는 활발한 마음 가짐의 소유자 어린이/ 청소년 관련 학과 전공자 어린이 및 청소년 프로그램 유경험자 우대, 중국 상하이 (국내 사전 교육 참여 필수)," 국내 사전교육: 2018년 7월 8일 (일), 14일(토), 15일(일), 10~17시* 비숙박형 교육* 장소: 서울시 성동구 성수동 국내 사전 모임: 2018년 7월 28일(토) 캠프 운영:8월 1일(수)  4일(토) 1차, 3박 4일8월 8일(수)  11일(토) 2차, 3박 4일* 모든 회차 신청자 우선 선발*1회차종료 후한국 입국, 2회차재출국"
[프렌드아시아] 2018 월드프렌즈 NGO봉사단 모집(~7/10),20180627,프렌드아시아,한국어 교육봉사,2018. 6. 25.(월) ~ 7. 10.(화),1명,한국어 교육이 가능한 사람(재학생 및 졸업생 지원 가능),무,한국어교원자격증 또는 관련 자격증 소지자,키르기스스탄 이바노프카,
[미래에셋/이티원] 제29회 글로벌리더대장정 캠프 요원(활동비有) (~6/27) (연장),20180626,제29회 미래에셋 글로벌 리더 대장정,중국 상하이에서 진행되는 캠프 중 참가자(초등학생) 관리 및 인솔,~6월 27일(수)까지지원 가능,"00명 (멘토, 스텝)","대학생 (재학생, 휴학생, 대학원생, 졸업생 가능)","캠프 중 필요한 교통비, 숙박비, 식비. 단체복무료 제공 단, 여권발급 비용 지원하지 않음/ 단체비자 발급 비용 주최측 지원", 어린이/ 청소년과 함께 하고자 하는 활발한 마음 가짐의 소유자 어린이/ 청소년 관련 학과 전공자 어린이 및 청소년 프로그램 유경험자 우대, 중국 상하이 (국내 사전 교육 참여 필수)," 국내 사전교육: 2018년 7월 8일 (일), 14일(토), 15일(일), 10~17시* 비숙박형 교육* 장소: 서울시 성동구 성수동 국내 사전 모임: 2018년 7월 28일(토) 캠프 운영:8월 1일(수)  4일(토) 1차, 3박 4일8월 8일(수)  11일(토) 2차, 3박 4일* 모든 회차 신청자 우선 선발*1회차종료 후한국 입국, 2회차재출국"
[매일경제신문사] 제4기 상해 글로벌금융허브탐방단 모집,20180625,매일경제신문사,중국 상해 내 금융권 탐방과 프로젝트를 통한 실무적 경험,2018년 7월 30일까지,00명,금융권에 관심이 있는 대학생 및 졸업생,무 / 사내부담,,중국 상해,8월 20일~24일
2018 하반기 월드프렌즈 NGO 봉사단 모집(~7/5),20180625,국제협력기구 더프라미스,"미얀마(양곤)파견마을 기반 지역 개발, 청년지원, 아동지원 등 사회공헌사업 보조",2018년 6월 25일  7월 5일 (오후 4시 마감),1명,국제개발협력 활동 유경험자고등학교 졸업 이상해외여행 결격 사유 없는 자파견 전 교육 참석이 가능한 자,참가비용 없음,"영어 가능 자 / 대인관계 및 팀워크 능력, 성실성",미얀마 양곤,2018년 8월  2019년 2월 ( 총 6개월 / 1년 단위 연장 가능)
중국 상해-제29회 미래에셋 글로벌리더 대장정 운영요원 모집(~6/24),20180624,제29회 미래에셋 글로벌 리더 대장정,중국 상하이에서 진행되는 캠프 중 참가자(초등학생) 관리 및 프로그램 운영,~6월 24일(일)까지,"00명 (멘토, 스텝)","대학생 (재학생, 휴학생, 대학원생, 졸업생 가능)","캠프 중 필요한 교통비, 숙박비, 식비. 단체복무료 제공 단, 여권발급 비용 지원하지 않음/ 단체비자 발급 비용 주최측 지원", 어린이/ 청소년과 함께 하고자 하는 활발한 마음 가짐의 소유자 어린이/ 청소년 관련 학과 전공자 어린이 및 청소년 프로그램 유경험자 우대(+) 중국어 회화 가능자 우대, 중국 상하이 (국내 사전 교육 참여 필수)," 국내 사전교육: 2018년 7월 8일 (일), 14일(토), 15일(일), 10~17시* 숙박형 교육 아님.* 장소: 서울시 성동구 성수동 국내 사전 모임: 2018년 7월 28일(토) 캠프 운영:8월 1일(수)  4일(토) 1차, 3박 4일8월 8일(수)  11일(토) 2차, 3박 4일* 모든 회차 신청자 우선 선발*1회차종료 후한국 입국, 2회차재출국"
"[한국외교부,일본외무성]2018 한국대학새 대표단 일본 파견사업(7/2)",20180622,포스터,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음,포스터/공고문(첨부파일)에 나와있음
[캄보디아 해비타트-희망의 집짓기] 개인건축(교육) 봉사자 모집(~8월까지),20180619,캄보프렌드,주택건축봉사활옹 + 교육봉사활동,~ 2018.08월까지,제한없음,"제한없음 (학생,휴학생,졸업생,직장인,일반인 등) : 홀로 또는 동행과 함께 건축에 대한 기본 지식이 없어도 누구나 참여 가능",참가비용 : 유,해당없음,캄보디아 씨엠립,1차~2차 각 차수별 6박8일 일정 (희망차수 선택하여 지원 가능)
[CFO] 하계방학 해외 Challenge 봉사 지원자 모집 (~9/30일까지),20180619,CAMBOFRIEND ORGANIZATION  2018년 하계방학 Challenge 및 Free Challenge 봉사활동 지원자 모집,교육봉사활동 + 노력봉사활동,~ 2018.09.30일까지,제한없음,"학생,휴학생,졸업생,직장인,일반인 등 (홓로 또는 동행과 함께)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비)," 제 13기 Challenge 봉사 프로그램 : 1차~11차 각 차수별 6박8일 일정(차수 본인 선택 지워)  Free Challenge 봉사 프로그램 : 4박6일 이상 봉사일정,출발일 본인이 정하여 봉사활동"
[미래에셋] 제 29회 우리아이 글로벌리더 대장정 중국 상해캠프 운영진 모집(~6/24 마감),20180618,미래에셋자산운용 제 29회 미래에셋 글로벌리더 대장정 (중국 상해캠프)2. 모집기간 1차 서류전형 : 첨부된 지원서를 작성해서 6,,,,,,,,
"[영국,유럽,미국,캐나다] 아웃도어 엑티비티 해외봉사활동 (모집 중!)",20180615,문화체험본부,"전세계 20여개국 200명 이상의 자원봉사자들과 현지 청소년. 성인을 대상으로 다양한 레크레이션 활동을 지원하고 단기간 이들과의 만남을 통해 자신감과 자립심, 그리고 용기 향상을 도모하게 됩니다. 봉사활동을 통해 다양한 국가의 친구들을 사귀며 각 분야(미술.체육.교육.아동복지.SNS 마케팅. Design, 언어, 만들기, 캠프등)의 활동을 통해 서로 소통하고 관계를 형성해가는 해외봉사 프로그램 입니다.*참여가능 분야아웃도어 대외활동(Summer Camp)사회복지(장애인/노인/아동복지/특수학교)SNS Media, Marketing, Design.호텔리어",~ 8/03까지,충원시 마감 / 이후 추가모집," 재학생/졸업생 가능 만18세30세 의 해외여행에 결격사유가 없는 건강한 남여는 누구나 초/중급 전후의 영어회화 실력 영어) 초급자인 경우, (영어스터디 + 해외봉사로) 참여가능 사회복지학/아동복지학/심리학/특수교육/체육/간호학 등 관련분야 전공 또는 경험자 우대. 봉사활동 (유)경험자 우대.",참가비  없음(스스로도 준비해서 참여가능), 관련분야 경력 및 높은 참여 의지어학 연수자 우대,전 세계 20여개국(영어권 및 유럽권),단기(4주~12주) 및 장기(6개월~1년)
[한국갭이어] 세상에서 가장 아름다운 노을을 만날 수 있는 발리에서의 여유가득 봉사활동(~선착순 마감),20180612,한국갭이어,상단 내용 참고,상시모집 / 선착순 마감,선착순 마감,"대학생, 휴학생, 졸업생, 일반인 등 만 18세 이상 누구나",유,,발리,최소 1주 이상
[CIJ영어캠프]필리핀 세부에서 함께 힐 인솔자 분들을 모집!(~6/30),20180612,CIJ ACADEMY@SCHOOL(CIJ어학원),학생 인솔 및 관리(현지 생활은 물론출국부터 입국까지 동행)담임 교사제 담당 학생들 관리 업무사진 업로드 및 편지 업로드 등학생 건강 및 생활관리담당 학생 학부모전화상담액티비티 진행**출국 전 사전교육 참가 및 캠프 오리엔테이션 참석 및 간단 업무 진행(1~2회),모집시 까지 (~6/30),수학수업/체육수업남자 00명여자 00명,체육수업/수학수업 가능 자(졸업생 가능),X,우대사항:군필자/고등학생수학수업까지 강의 가능한자/수학과외 및 체육과외 경험 있는자영어 가능자우대(못하셔도 무방합니다)아이들을 사랑하고열과 성을 다해 아이들을 보살필 열정을 가진 자책임감 있는자각 부문 경험자우대 부산출발 가능자,필리핀 세부,2018년07월07일(토)출국2018년09월01일(토)2018년07월22일(일)출국2018년09월01일(토)상기 일정 중4주/6주/8주 배정되게되며 주차의 경우 선택은 불가합니다*참가 주차와 일정은 변경될 수 있습니다*
제주도 분들 중 베트남 배낭연수 같이 가실 분 모집(연수비용지원),20180610,,,,,,,,,
2018 해외봉사활동 중국어 통역 스태프(마감),20180608,에코피스아시아,,2018.7.77.13,2명,졸업생 지원가능,"전액지원(비자발급, 왕복항공료, 체재비) 및 자원봉사 확인증 발급","중국어 잘하는 한국학생, 한국어 잘하는 중국학생",중국 내몽고 자치구 정란치 사막화방지,
[캄보프렌드] 2018년 하계방학 해외봉사활동 지원자 모집(하계 및 수시모집),20180608,캄보프렌드,"교육봉사,노력봉사,건축봉사,볼런투어(공정봉사여행),컴퓨터교육,기타 개인 및 단체봉사단",하계방학 봉사프로그램 (~2018.09월까지) / 연중수시모집 봉사프로그램 (연중수시지원),제한없음,제한없음 (개인 또는 단체) : 졸업생 신청 가능,참가비용 : 유,제한없음 (누구나 봉사활동 참여 가능),캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사프로그램마다 활동기간 다름 (본인 희망에 따라 일정 선택 가능)
[볼런투어-공정봉사여행] 해외공정봉사여행 참가자 모집 (수시모집),20180608,캄보프렌드,"교육봉사 + 현지 실생활체험활동 + 문화,생활상탐방 + Activity체험활동 등",연중수시모집,"제한없음 (단, 2명이상 동행과 함께 신청 가능)","제한없음 (졸업생 가능) : 학생,휴학생,직장인,일반인 등",참가비용 : 유,해당없음 (누구나 신청 가능),캄보디아(씨엠립) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),3박5일 / 4박6일 / 6박8일 프로그램 운영 (본인 선택)
원더풀 인천 공정 여행 참가자 모집(봉사시간 인증),20180607,인천YWCA,"중구일대를 공정여행함으로써 여행 내 평등 문화를 경험하고, 이를 발판으로 민주시민으로서의 역량을 강화하고자 진행하는 프로그램입니다. (총 2회차 진행)",~6/12(화),~선착순 12명,"인천 관내 대학생 및 청년(대학생, 휴학생, 졸업생 모두 가능!)",없음,없음,인천 중구 일대,"2회차 진행6월 30일, 7월14일"
[그린티처스] 제 19회 미소캠프 남아프리카 공화국 참가 교사 및 학생 모집중 (~6월29일),20180607,사단법인 그린티처스,"장애 및 비장애 학생이 함께하는 통합캠프로, 남아프리카 공화국으로 문화탐방과 현지교류 활동","2018년 6월 9일~29일모집 대상(+졸업생 가능여부)교사 및 학생참가 비용 유/무유활동 지역남아프리카 공화국 (케이프 타운)활동 기간2018년 8월 1일 ~ 12일활동 혜택참가자 전원 80시간의 자원봉사확인서 발급 (국내 사전모임 8시간, 현지캠프활동 72시간 개별 발급)오프라인 모임 횟 수 (월 x회)국내교육 2회지원하는 방법홈페이지 참가신청서양식 다운로드 후 작성 이메일, 팩스 또는 우편 접수http://www.greenteachers.co.kr/ 서울시 서초구 효령로 31길 6, 3층 공식 카페/블로그 및 SNShttp://www.greenteachers.co.kr기타문의 전화 : 0220880100 / 팩스 : 025756909이메일 : misonet@hanmail.net",,교사 및 학생,유,,남아프리카 공화국 (케이프 타운),2018년 8월 1일 ~ 12일
제주도 분들 중 베트남 배낭연수 같이 가실 분 모집(연수비용지원),20180606,,,,,,,,,
[여성가족부] 2018 국가간 청소년교류 파견대표단 청소년&통역모집 (~6/19),20180605,2018 국가간 청소년교류 파견대표단 청소년 및 통역 2차모집주최 및 주관: 여성가족부,"여성가족부는 청소년의 글로벌역량 강화와 국가간 상호 이해 및 우호 협력 증진을 위해 매년 “국가간 청소년교류 사업”을 시행하고 있습니다. 선발된 청소년들은 대한민국 정부의 공식 대표단 자격으로 상대국 청소년들과의 교류모임, 문화체험, 홈스테이, 유적지 및 산업시설 탐방 등의 다양한 교류활동을 펼치게 됩니다. 2018년 “국가간 청소년교류 2차 대한민국 대표단”으로 참가할 청소년과 통역을 다음과 같이 모집하오니 많은 참여 바랍니다.",2018.5.29.(화) ~ 6.19.(화)*오후 6시 마감,"[일반파견]국가명파견기간청소년통역통역언어브루나이8.27.~9.5.71영어슬로바키아9.4.~9.11.31영어베트남10.30.~11.8.162베트남어카타르10.30.~11.07.91아랍어4개국355[전문파견]*국가명(테마)파견기간청소년통역통역언어불가리아(청소년활동정책)9.4.~9.13.4**1불가리아어1개국91* 전문파견: 청소년들이 청소년지도사의 코칭 하에 스스로 테마형 프로그램 기획, 참여 및 결과공유까지 수행하는 프로젝트 활동** 불가리아(전문파견) 참가청소년 선발의 경우, 만 19~24세 청소년지도사 및 청소년관련 학과생 모집(증빙서류 제출)","[청소년]만 16세 이상 만 24세 이하의 대한민국 청소년* 불가리아: 만 19세 이상 ~ 만 24세 이하, 청소년지도사 또는 청소년관련학과 재학생[통역]만 20세 이상 29세 이하로, 파견 국가 해당 언어 통역이 가능한 자","[청소년] 참가자부담: 왕복항공료(80%), 사전교육 시 발생하는 교통비 정부 지원: 왕복항공료(20%), 여행자보험료, 방문국 체재비 및 비자발급 비용[통역] 참가자부담: 사전교육 참여시 발생하는 교통비 정부지원: 왕복항공료(100%), 여행자보험료, 방문국 체재비 및 비자발급 비용* 일비지급: 파견일수 기준 공무원 여비규정에 의함","1. 사회적 배려계층 청소년: 왕복항공료(100%) 정부지원(기초생활수급자, 저소득한부모가족, 다문화가족, 장애인 청소년, 북한이탈자, 법적 차상위계층, 농어촌청소년, 학교 밖 청소년)2. 청소년활동 참여 우수자: 청소년활동 관련 사업 또는 행사의 여성가족부장관상(표창) 이상 훈격 수상자3. 다문화가족 청소년: 파견국가와 부모의 출신국이 동일한 다문화가족 청소년",모집인원 참조,모집인원 참조
